sentiment,text,clean_text
neutral,"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .",according to gran  the company has no plans to move all production to russia  although that is where the company is growing
neutral,"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .",technopolis plans to develop in stages an area of no less than  square meters in order to host companies working in computer technologies and telecommunications  the statement said
negative,"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported .",the international electronic industry company elcoteq has laid off tens of employees from its tallinn facility  contrary to earlier layoffs the company contracted the ranks of its office workers  the daily postimees reported
positive,With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,with the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability
positive,"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .",according to the company s updated strategy for the years   basware targets a longterm net sales growth in the range of     with an operating profit margin of     of net sales
positive,FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .,financing of aspocomp s growth aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding hdi printed circuit boards pcbs
positive,"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",for the last quarter of   componenta s net sales doubled to eurm from eurm for the same period a year earlier  while it moved to a zero pretax profit from a pretax loss of eurm
positive,"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",in the third quarter of   net sales increased by   to eur  mn  and operating profit by   to eur  mn
positive,Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,operating profit rose to eur  mn from eur  mn in the corresponding period in  representing   of net sales
positive,"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",operating profit totalled eur  mn  up from eur  mn in   representing   of net sales
positive,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,teliasonera tlsn said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen eesti telekom s offering to its customers
positive,"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .",stora enso  norske skog  mreal  upmkymmene credit suisse first boston  cfsb  raised the fair value for shares in four of the largest nordic forestry groups
positive,"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .",a purchase agreement for  tons of gasoline with delivery at the hamina terminal  finland  was signed with neste oil oyj at the average platts index for this september plus eight us dollars per month
positive,"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",finnish talentum reports its operating profit increased to eur  mn in  from eur  mn in   and net sales totaled eur  mn  up from eur  mn
positive,"Clothing retail chain Sepp+Æl+Æ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",clothing retail chain seppl s sales increased by   to eur  mn  and operating profit rose to eur  mn from eur  mn in
positive,"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",consolidated net sales increased   to reach eur  m  while operating profit amounted to eur  m compared to a loss of eur  m in the prior year period
positive,"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",foundries division reports its sales increased by   to eur  mn from eur  mn in the corresponding period in   and sales of the machine shop division increased by   to eur  mn from eur  mn in the corresponding period in
positive,"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",helsinki  afx   shares closed higher  led by nokia after it announced plans to team up with sanyo to manufacture g handsets  and by nokian tyres after its fourthquarter earnings report beat analysts  expectations  dealers said
positive,"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .",incap contract manufacturing services pvt ltd  a subsidiary of incap corporation of finland  plans to double its revenues by
positive,"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",its board of directors will propose a dividend of eur  per share for   up from the eur  per share paid in
positive,"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .",lifetree was founded in   and its revenues have risen on an average by   with margins in late s
positive,"( Filippova ) A trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been signed in the course of the forum , Days of the Russian Economy , that opened in Helsinki today .",filippova  a trilateral agreement on investment in the construction of a technology park in st petersburg was to have been signed in the course of the forum  days of the russian economy  that opened in helsinki today
positive,"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",megafon s subscriber base increased   in  to  million users as of december   while its market share by the number of customers amounted to   as of late   up from   as of late   according to teliasonera estimates
positive,"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",net income from life insurance doubled to eur  mn from eur  mn  and net income from nonlife insurance rose to eur  mn from eur  mn in the corresponding period in
positive,Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),net sales increased to eur  m from eur  m and pretax profit rose by   to eur  m  eur  usd
positive,"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",net sales surged by   to eur  m teleste said that eur  m  or    of the sales came from the acquisitions made in
positive,Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,nordea group s operating profit increased in  by  percent yearonyear to  billion euros and total revenue by  percent to  billion euros
positive,"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",operating profit for the ninemonth period increased from eur  m  while net sales increased from eur  m  as compared to the corresponding period in
positive,"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 .",operating profit for the ninemonth period increased from eur  m and net sales increased from eur  m  as compared to the corresponding period in
positive,"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",operating profit for the threemonth period increased from eur  m  while revenue increased from eur  m  as compared to the corresponding period in
positive,"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+_o , as saying .",the brazilian unit of finnish security solutions provider fsecure signed up  new clients last year  online news source reseller web quoted the division s commercial director  vladimir brando  as saying
positive,"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",the company s net profit rose   on the year to  million euros in  on sales of  million euros    up on the year  the company said earlier
positive,"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",the lithuanian beer market made up  million liters in january  a rise of  percent from the yearearlier figure  the lithuanian brewers  association reporting citing the results from its members
positive,"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",viking line s cargo revenue increased by   to eur  mn  and cargo volume increased by   to  cargo units
positive,"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",the fair value of the property portfolio doubled as a result of the kapiteeli acquisition and totalled eur   million
positive,10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,february   finnish media company sanoma oyj hel  saav said yesterday its  net profit almost tripled to eur  m from eur  m for  and announced a proposal for a raised payout
positive,"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",a helsinki  eliiv today reported eps of eur  for   an increase over eps of eur  in
positive,"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .",aspo plc stock exchange release february    at  am esl shipping ltd  part of aspo group  has signed a new  longterm contract with rautaruukki corporation for the marine transport of raw materials on the baltic sea
positive,"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",commission income increased by   to eur  mn  and lending volume rose by
positive,"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",in january  traffic  measured in revenue passenger kilometres rpk  went up by   and capacity  measured in available seat kilometres ask  rose by
positive,"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",in januaryseptember   fiskars  net profit went up by   yearonyear to eur  million and net sales to eur  million from eur  million
positive,"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",net income from life insurance rose to eur  mn from eur  mn  and net income from nonlife insurance to eur  mn from eur  mn in
positive,"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",nyrstar has also agreed to supply to talvivaara up to  tonnes of sulphuric acid per annum for use in talvivaara s leaching process during the period of supply of the zinc in concentrate
positive,"Sales for both the Department Store Division and Hobby Hall increased by 7 % , while sales for the clothing store subsidiary Seppala decreased by 4 % .",sales for both the department store division and hobby hall increased by    while sales for the clothing store subsidiary seppala decreased by
positive,Sales have risen in other export markets .,sales have risen in other export markets
positive,Sales increased due to growing market rates and increased operations .,sales increased due to growing market rates and increased operations
positive,The agreement strengthens our long-term partnership with Nokia Siemens Networks .,the agreement strengthens our longterm partnership with nokia siemens networks
positive,"The agreement was signed with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .",the agreement was signed with biohit healthcare ltd  the ukbased subsidiary of biohit oyj  a finnish public company which develops  manufactures and markets liquid handling products and diagnostic test systems
positive,The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,the company also estimates the already carried out investments to lead to an increase in its net sales for  from  when they reached eur  million
positive,"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",the company s order book stood at  bln euro   bln on september     up by  pct on the year  with international orders amounting to  mln euro   mln
positive,"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",the company said that paper demand increased in all of its main markets  including of publication papers  and that it increased average paper prices by  percent compared with last year
positive,"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",the world s second largest stainless steel maker said net profit in the threemonth period until dec  surged to euro million us  million  or euro  us  per share  from euro million  or euro  per share  the previous year
positive,"Within the framework of the partnership , Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary , JSC Mikron , which is the largest manufacturer and exporter of microelectronic components in Russia .",within the framework of the partnership  nokia siemens networks has signed an initial framework purchase agreement with sitronics subsidiary  jsc mikron  which is the largest manufacturer and exporter of microelectronic components in russia
positive,"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .",seppala s revenue increased by   to eur  m in finland  revenue went down by   to eur  m  while sales abroad rose by   to eur  m sales increased in all the baltic countries as well as in russia and ukraine
positive,"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",shares of standard chartered  stan  rose   in the ftse   while royal bank of scotland  rbs  shares rose   and barclays shares  barc   bcs  were up
positive,Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,shares of nokia corp rose thursday after the cell phone maker said its thirdquarter earnings almost doubled and its share of the global handset market increased
positive,"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .",in its financial report  published on friday  seb said its net profit soared to sek  bn in  from a yearearlier sek  bn and proposed a   dividend increase to sek  per share
positive,Sales for the Department Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .,sales for the department store division increased by   and sales for the clothing store subsidiary seppala increased by   meanwhile sales for hobby hall decreased by
neutral,"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .",at the request of finnish media company alma media s newspapers  research manager jari kaivooja at the finland futures research centre at the turku school of economics has drawn up a future scenario for finland s national economy by using a model developed by the university of denver
neutral,"In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .",in sweden  gallerix accumulated sek denominated sales were down   and eur denominated sales were up
neutral,The company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production .,the company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production
neutral,"When this investment is in place , Atria plans to expand into the Moscow market .",when this investment is in place  atria plans to expand into the moscow market
neutral,"`` The new agreement is a continuation to theagreement signed earlier this year with the Lemminkainen Group , whereby Cramo acquired the entire construction machine fleet ofLemminkainen Talo Oy Ita - ja Pohjois Suomo , and signed asimilar agreement , '' said Tatu Hauhio , managing director ofCramo Finland .",the new agreement is a continuation to theagreement signed earlier this year with the lemminkainen group  whereby cramo acquired the entire construction machine fleet oflemminkainen talo oy ita  ja pohjois suomo  and signed asimilar agreement   said tatu hauhio  managing director ofcramo finland
positive,"At first the contract envisaged the construction of three ferryboats with an option for two more units , further confirmed at a total value of 500 mln euro ( $ 645.8 mln ) .",at first the contract envisaged the construction of three ferryboats with an option for two more units  further confirmed at a total value of  mln euro    mln
neutral,"In June it sold a 30 percent stake to Nordstjernan , and the investment group has now taken up the option to acquire EQT 's remaining shares .",in june it sold a  percent stake to nordstjernan  and the investment group has now taken up the option to acquire eqt s remaining shares
positive,"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .",kesko corporation stock exchange release  at      kesko corporation and aspo plc today signed an agreement by which aspo acquires the share capital of kaukotelko ltd  a subsidiary wholly owned by kesko
positive,Sponda Plc Stock Exchange Release 5 December 2006 at 15.45 EUR 1.5 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has signed an agreement for a one-year syndicated credit facility for a total of EUR 1.5 billion .,sponda plc stock exchange release  december  at  eur  billion syndicated credit facility for sponda sponda has signed an agreement for a oneyear syndicated credit facility for a total of eur  billion
neutral,STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .,stock exchange announcement  july      basware share subscriptions with warrants and increase in share capital a total of   shares have been subscribed with basware warrant program
positive,"The contract covers HDO platform , AC800 and CXE880 optical Fttb nodes designed to increase the forward and return path capacity of the transmission networks .",the contract covers hdo platform  ac and cxe optical fttb nodes designed to increase the forward and return path capacity of the transmission networks
neutral,The new plant is planned to have an electricity generation capacity of up to 350 megawatts ( MW ) and the same heat generation capacity .,the new plant is planned to have an electricity generation capacity of up to  megawatts  mw  and the same heat generation capacity
positive,"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .",the omx helsinki  index was up  pct at  and the helsinki cap portfolio index was  pct higher at
neutral,"- So , the sales growth of cars considerably influence on the tires market '' .",so  the sales growth of cars considerably influence on the tires market
neutral,"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",a maximum of  new shares can further be subscribed for by exercising b options under the  stock option plan
neutral,"As a result of the share issue , the number of the company 's shares increases by 391,630 shares and the share capital by a total of EUR 15,665.20 .",as a result of the share issue  the number of the company s shares increases by  shares and the share capital by a total of eur
neutral,"Finnish real estate investor Sponda Plc said on Wednesday 12 March that it has signed agreements with Danske Bank A-S , Helsinki Branch for a 7-year EUR150m credit facility and with Ilmarinen Mutual Pension Insurance Company for a 7-year EUR50m credit facility .",finnish real estate investor sponda plc said on wednesday  march that it has signed agreements with danske bank as  helsinki branch for a year eurm credit facility and with ilmarinen mutual pension insurance company for a year eurm credit facility
neutral,"On the route between Helsinki in Finland and Tallinn in Estonia , cargo volumes increased by 36 % , while cargo volumes between Finland and Sweden fell by 9 % .",on the route between helsinki in finland and tallinn in estonia  cargo volumes increased by    while cargo volumes between finland and sweden fell by
neutral,"Other measures included increasing synergies and economies of scale within the Grimaldi Group and personnel adjustments , divestments and redelivery of excess tonnage .",other measures included increasing synergies and economies of scale within the grimaldi group and personnel adjustments  divestments and redelivery of excess tonnage
positive,"Rinkuskiai raised the sales by 18.1 percent , to 1.37 million liters , while the sales of Kauno Alus grew by 14.3 percent , to 960,000 liters .",rinkuskiai raised the sales by  percent  to  million liters  while the sales of kauno alus grew by  percent  to  liters
neutral,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,telecomworldwire april tj group plc sells stake in morning digital design oy finnish it company tj group plc said on friday  april that it had signed an agreement on selling its shares of morning digital design oy to edita oyj
positive,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,telecomworldwire april tj group plc sells stake in morning digital design oy finnish it company tj group plc said on friday  april that it had signed an agreement on selling its shares of morning digital design oy to edita oyj
neutral,"The 718,430 new Series A shares will become subject to trading on the Helsinki Stock Exchange 's Main List , together with the old Series A shares , on July 3 , 2006 .",the  new series a shares will become subject to trading on the helsinki stock exchange s main list  together with the old series a shares  on july
neutral,The fuel purchase contracts have been signed with three months ' delivery from this September to November .,the fuel purchase contracts have been signed with three months  delivery from this september to november
neutral,Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,tiimari operates  stores in six countries  including its core finnish market  and generated a turnover of  mln eur in
positive,Under this agreement Biohit becomes a focus supplier of pipettors and disposable pipettor tips to VWR customers throughout Europe .,under this agreement biohit becomes a focus supplier of pipettors and disposable pipettor tips to vwr customers throughout europe
positive,"The combination of all services enabling us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean , Africa and North America `` says Uwe Bakosch .",the combination of all services enabling us to offer a complex and strengthened service chain not only limited to the baltic port connections but also for getting access to the world wide grimaldi network into the mediterranean  africa and north america  says uwe bakosch
neutral,No blind-spots coming from 1 vantage point allows investigators to see the whole story in high resolution with no unbroken video .,no blindspots coming from  vantage point allows investigators to see the whole story in high resolution with no unbroken video
positive,"The company still expects its turnover in 2010 to slightly increase from the level of 2009 , adding that `` market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year '' .",the company still expects its turnover in  to slightly increase from the level of   adding that  market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year
positive,The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,the acquisition will considerably increase kemira s sales and market position in the russian metal industry coatings market
positive,"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .",in januaryseptember   finnlines  net sales rose to eur  mn from eur  mn in the corresponding period in
positive,"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",adjusted for changes in the group structure  the division s net sales increased by
positive,"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .",the change will optimize the operational efficiencies of our growing business   said julia prohaska  director of marketing communications for fiskars
positive,"`` They would invest not only in the physical infrastructure , but would also provide know-how for managing and developing science and technology parks , '' said Sunrise Valley director Andrius Bagdonas .",they would invest not only in the physical infrastructure  but would also provide knowhow for managing and developing science and technology parks   said sunrise valley director andrius bagdonas
positive,"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",february   finnish broadband data communication systems provider teleste oyj hel  tltv saw its net profit jump to eur  m for the last quarter of  from eur  for the same period of
positive,Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,finnish aktia group s operating profit rose to eur  mn in the first quarter of  from eur  mn in the first quarter of
positive,Finnish Bank of +_land 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,finnish bank of land s consolidated net operating profit increased from eur  mn in the first quarter of  to eur  mn in the first quarter of
positive,"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",finnish financial group aktia reports operating profit of eur  mn in januaryseptember   up from eur  mn in the corresponding period in
positive,"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .",finnish high technology provider vaahto group reports net sales of eur  mn in the accounting period september   february   an increase of   from a year earlier
positive,Net sales of Finnish food industry company L+Ænnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .,net sales of finnish food industry company lnnen tehtaat s continuing operations increased by   in  to eur  mn from eur  mn in
positive,An individual promotion also generated slightly higher-than-expected revenues .,an individual promotion also generated slightly higherthanexpected revenues
positive,Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,biohit already services many current genesis customers and the customer base is expected to expand as a result of this agreement
positive,"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",both operating profit and turnover for the threemonth period increased  respectively from eur  m and eur  m  as compared to the corresponding period in
positive,Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,circulation revenue has increased by   in finland and   in sweden in
positive,Clothing chain Sepp+Æl+Æ 's net sales increased by 7.0 % to EUR 30.8 mn .,clothing chain seppl s net sales increased by   to eur  mn
positive,Construction volumes meanwhile grow at a rate of 10-15 percent annually .,construction volumes meanwhile grow at a rate of  percent annually
positive,Finnish and Swedish construction markets are still experiencing an estimated 4 % annual growth in 2008 .,finnish and swedish construction markets are still experiencing an estimated   annual growth in
positive,"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",however  biohit estimates its total net sales will continue to grow in   and that favourable trends in net sales will lead to a profit in
positive,"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .",in   fiskars  cash flow from operating activities amounted to eurm  up from eurm in the previous year
positive,"In Lithuania , operating profit rose to EUR 190,000 from EUR 70,000 in the corresponding period in 2005 .",in lithuania  operating profit rose to eur  from eur  in the corresponding period in
positive,"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .",in the fourth quarter of   net sales increased by   to eur  mn from eur  mn in the fourth quarter of
positive,"International sales rose by 59.8 % to EUR 1,244.4 mn .",international sales rose by   to eur  mn
neutral,Kalmar Espana generated net sales of some 11.3 mln euro $ 14.8 mln in 2005 .,kalmar espana generated net sales of some  mln euro   mln in
positive,Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,net sales grew in the period to  xac  million  us million from  xac  million in
positive,Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,net sales increased to eurm in april to june  from eurm a year earlier
positive,"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .",net sales rose by   yearonyear to eur  m  as the number of chargers delivered went up by   to  million pieces
